ID,NAME,ARTIST,YEAR,ORIGIN,IMAGE,AUDIO
w19851,Song in Japanese,Unrecognized,N/A,Soviet Russia,link,link
w21277,Song about Grozny,Unrecognized,N/A,Soviet Russia,link,link
w21268,Sea in Gagry,Givi ALASANIA,N/A,Soviet Russia,link,link
w20191,Paren (The Guy),A.SMIRNOVA & Jakov FELDTSER,N/A,Soviet Russia,link,link
w19418,Rock-a-Beatin' Boogie?,Bill Haley (?),N/A,Soviet Russia,link,link
w19112,Prosschai (Goodbye),Artie Shaw,N/A,Soviet Russia,link,link
w18959,Egyptian Ella fox-trot,Unrecognized,N/A,Soviet Russia,link,link
w18440,Song in Italian,Unrecognized,N/A,Soviet Russia,link,link
w16503,"Zhazhda, Neschastnaya devchenochka",Boris Poloskin,N/A,Soviet Russia,link,link
w15089,Zhuravli (Zdes pod nebom chuzhim) cranes,Nikolah Markov,N/A,Soviet Russia,link,link
w14526,Unrecognized song,Unrecognized,N/A,Soviet Russia,link,link
w14525,Instrumental track,Unrecognized,N/A,Soviet Russia,link,link
w14524,Instrumental track,Unrecognized,N/A,Soviet Russia,link,link
w13033,Tampico,Stan Kenton and June Christy,N/A,Soviet Russia,link,link
w13029,Unrecognized song (Italian),Unrecognized,N/A,Soviet Russia,link,link